gk,peng,ump,upah,cluster
2180,228,67,13,3
2180,9,67,13,3
2180,1222,67,13,0
2180,493,67,13,3
2180,740,67,13,3
2180,1901,67,13,0
2180,295,67,13,3
2180,97,67,13,3
2180,1492,67,13,0
2283,228,67,13,3
2283,9,67,13,3
2283,1222,67,13,0
2283,493,67,13,3
2283,740,67,13,3
2283,1901,67,13,0
2283,295,67,13,3
2283,97,67,13,3
2283,1492,67,13,0
2226,228,67,13,3
2226,9,67,13,3
2226,1222,67,13,0
2226,493,67,13,3
2226,740,67,13,3
2226,1901,67,13,0
2226,295,67,13,3
2226,97,67,13,3
2226,1492,67,13,0
2342,228,67,13,3
2342,9,67,13,3
2342,1222,67,13,0
2342,493,67,13,3
2342,740,67,13,3
2342,1901,67,13,0
2342,295,67,13,3
2342,97,67,13,3
2342,1492,67,13,0
2214,228,67,13,3
2214,9,67,13,3
2214,1222,67,13,0
2214,493,67,13,3
2214,740,67,13,3
2214,1901,67,13,0
2214,295,67,13,3
2214,97,67,13,3
2214,1492,67,13,0
2322,228,67,13,3
2322,9,67,13,3
2322,1222,67,13,0
2322,493,67,13,3
2322,740,67,13,3
2322,1901,67,13,0
2322,295,67,13,3
2322,97,67,13,3
2322,1492,67,13,0
928,228,67,13,3
928,9,67,13,3
928,1222,67,13,0
928,493,67,13,3
928,740,67,13,3
928,1901,67,13,0
928,295,67,13,3
928,97,67,13,3
928,1492,67,13,0
955,228,67,13,3
955,9,67,13,3
955,1222,67,13,0
955,493,67,13,3
955,740,67,13,3
955,1901,67,13,0
955,295,67,13,3
955,97,67,13,3
955,1492,67,13,0
299,228,67,13,3
299,9,67,13,3
299,1222,67,13,0
299,493,67,13,3
299,740,67,13,3
299,1901,67,13,0
299,295,67,13,3
299,97,67,13,3
299,1492,67,13,0
358,228,67,13,3
358,9,67,13,3
358,1222,67,13,0
358,493,67,13,3
358,740,67,13,3
358,1901,67,13,0
358,295,67,13,3
358,97,67,13,3
358,1492,67,13,0
481,228,67,13,3
481,9,67,13,3
481,1222,67,13,0
481,493,67,13,3
481,740,67,13,3
481,1901,67,13,0
481,295,67,13,3
481,97,67,13,3
481,1492,67,13,0
541,228,67,13,3
541,9,67,13,3
541,1222,67,13,0
541,493,67,13,3
541,740,67,13,3
541,1901,67,13,0
541,295,67,13,3
541,97,67,13,3
541,1492,67,13,0
3609,228,67,13,3
3609,9,67,13,3
3609,1222,67,13,0
3609,493,67,13,3
3609,740,67,13,3
3609,1901,67,13,0
3609,295,67,13,3
3609,97,67,13,3
3609,1492,67,13,0
3715,228,67,13,3
3715,9,67,13,3
3715,1222,67,13,0
3715,493,67,13,3
3715,740,67,13,3
3715,1901,67,13,0
3715,295,67,13,3
3715,97,67,13,3
3715,1492,67,13,0
3283,228,67,13,3
3283,9,67,13,3
3283,1222,67,13,0
3283,493,67,13,3
3283,740,67,13,3
3283,1901,67,13,0
3283,295,67,13,3
3283,97,67,13,3
3283,1492,67,13,0
3424,228,67,13,3
3424,9,67,13,3
3424,1222,67,13,0
3424,493,67,13,3
3424,740,67,13,3
3424,1901,67,13,0
3424,295,67,13,3
3424,97,67,13,3
3424,1492,67,13,0
3380,228,67,13,3
3380,9,67,13,3
3380,1222,67,13,0
3380,493,67,13,3
3380,740,67,13,3
3380,1901,67,13,0
3380,295,67,13,3
3380,97,67,13,3
3380,1492,67,13,0
3510,228,67,13,3
3510,9,67,13,3
3510,1222,67,13,0
3510,493,67,13,3
3510,740,67,13,3
3510,1901,67,13,0
3510,295,67,13,3
3510,97,67,13,3
3510,1492,67,13,0
2333,280,98,73,3
2333,17,98,73,3
2333,1327,98,73,0
2333,815,98,73,3
2333,862,98,73,3
2333,2029,98,73,0
2333,446,98,73,3
2333,124,98,73,3
2333,1613,98,73,0
2496,280,98,73,3
2496,17,98,73,3
2496,1327,98,73,0
2496,815,98,73,3
2496,862,98,73,3
2496,2029,98,73,0
2496,446,98,73,3
2496,124,98,73,3
2496,1613,98,73,0
2436,280,98,73,3
2436,17,98,73,3
2436,1327,98,73,0
2436,815,98,73,3
2436,862,98,73,3
2436,2029,98,73,0
2436,446,98,73,3
2436,124,98,73,3
2436,1613,98,73,0
2559,280,98,73,3
2559,17,98,73,3
2559,1327,98,73,0
2559,815,98,73,3
2559,862,98,73,3
2559,2029,98,73,0
2559,446,98,73,3
2559,124,98,73,3
2559,1613,98,73,0
2402,280,98,73,3
2402,17,98,73,3
2402,1327,98,73,0
2402,815,98,73,3
2402,862,98,73,3
2402,2029,98,73,0
2402,446,98,73,3
2402,124,98,73,3
2402,1613,98,73,0
2542,280,98,73,3
2542,17,98,73,3
2542,1327,98,73,0
2542,815,98,73,3
2542,862,98,73,3
2542,2029,98,73,0
2542,446,98,73,3
2542,124,98,73,3
2542,1613,98,73,0
1012,280,98,73,3
1012,17,98,73,3
1012,1327,98,73,0
1012,815,98,73,3
1012,862,98,73,3
1012,2029,98,73,0
1012,446,98,73,3
1012,124,98,73,3
1012,1613,98,73,0
1068,280,98,73,3
1068,17,98,73,3
1068,1327,98,73,0
1068,815,98,73,3
1068,862,98,73,3
1068,2029,98,73,0
1068,446,98,73,3
1068,124,98,73,3
1068,1613,98,73,0
370,280,98,73,3
370,17,98,73,3
370,1327,98,73,0
370,815,98,73,3
370,862,98,73,3
370,2029,98,73,0
370,446,98,73,3
370,124,98,73,3
370,1613,98,73,0
424,280,98,73,3
424,17,98,73,3
424,1327,98,73,0
424,815,98,73,3
424,862,98,73,3
424,2029,98,73,0
424,446,98,73,3
424,124,98,73,3
424,1613,98,73,0
577,280,98,73,3
577,17,98,73,3
577,1327,98,73,0
577,815,98,73,3
577,862,98,73,3
577,2029,98,73,0
577,446,98,73,3
577,124,98,73,3
577,1613,98,73,0
641,280,98,73,3
641,17,98,73,3
641,1327,98,73,0
641,815,98,73,3
641,862,98,73,3
641,2029,98,73,0
641,446,98,73,3
641,124,98,73,3
641,1613,98,73,0
3795,280,98,73,3
3795,17,98,73,3
3795,1327,98,73,0
3795,815,98,73,3
3795,862,98,73,3
3795,2029,98,73,0
3795,446,98,73,3
3795,124,98,73,3
3795,1613,98,73,0
3939,280,98,73,3
3939,17,98,73,3
3939,1327,98,73,0
3939,815,98,73,3
3939,862,98,73,3
3939,2029,98,73,0
3939,446,98,73,3
3939,124,98,73,3
3939,1613,98,73,0
3532,280,98,73,3
3532,17,98,73,3
3532,1327,98,73,0
3532,815,98,73,3
3532,862,98,73,3
3532,2029,98,73,0
3532,446,98,73,3
3532,124,98,73,3
3532,1613,98,73,0
3673,280,98,73,3
3673,17,98,73,3
3673,1327,98,73,0
3673,815,98,73,3
3673,862,98,73,3
3673,2029,98,73,0
3673,446,98,73,3
3673,124,98,73,3
3673,1613,98,73,0
3619,280,98,73,3
3619,17,98,73,3
3619,1327,98,73,0
3619,815,98,73,3
3619,862,98,73,3
3619,2029,98,73,0
3619,446,98,73,3
3619,124,98,73,3
3619,1613,98,73,0
3759,280,98,73,3
3759,17,98,73,3
3759,1327,98,73,0
3759,815,98,73,3
3759,862,98,73,3
3759,2029,98,73,0
3759,446,98,73,3
3759,124,98,73,3
3759,1613,98,73,0
2633,596,163,101,3
2633,31,163,101,3
2633,1559,163,101,2
2633,1063,163,101,2
2633,928,163,101,2
2633,2107,163,101,0
2633,735,163,101,2
2633,170,163,101,3
2633,1781,163,101,0
2851,596,163,101,3
2851,31,163,101,3
2851,1559,163,101,2
2851,1063,163,101,2
2851,928,163,101,2
2851,2107,163,101,0
2851,735,163,101,2
2851,170,163,101,3
2851,1781,163,101,2
2647,596,163,101,3
2647,31,163,101,3
2647,1559,163,101,2
2647,1063,163,101,2
2647,928,163,101,2
2647,2107,163,101,0
2647,735,163,101,2
2647,170,163,101,3
2647,1781,163,101,0
2827,596,163,101,3
2827,31,163,101,3
2827,1559,163,101,2
2827,1063,163,101,2
2827,928,163,101,2
2827,2107,163,101,0
2827,735,163,101,2
2827,170,163,101,3
2827,1781,163,101,2
2639,596,163,101,3
2639,31,163,101,3
2639,1559,163,101,2
2639,1063,163,101,2
2639,928,163,101,2
2639,2107,163,101,0
2639,735,163,101,2
2639,170,163,101,3
2639,1781,163,101,0
2836,596,163,101,3
2836,31,163,101,3
2836,1559,163,101,2
2836,1063,163,101,2
2836,928,163,101,2
2836,2107,163,101,0
2836,735,163,101,2
2836,170,163,101,3
2836,1781,163,101,2
1098,596,163,101,1
1098,31,163,101,3
1098,1559,163,101,1
1098,1063,163,101,1
1098,928,163,101,1
1098,2107,163,101,1
1098,735,163,101,1
1098,170,163,101,3
1098,1781,163,101,1
1155,596,163,101,1
1155,31,163,101,3
1155,1559,163,101,1
1155,1063,163,101,1
1155,928,163,101,1
1155,2107,163,101,0
1155,735,163,101,1
1155,170,163,101,3
1155,1781,163,101,1
502,596,163,101,1
502,31,163,101,3
502,1559,163,101,1
502,1063,163,101,1
502,928,163,101,1
502,2107,163,101,1
502,735,163,101,1
502,170,163,101,3
502,1781,163,101,1
551,596,163,101,1
551,31,163,101,3
551,1559,163,101,1
551,1063,163,101,1
551,928,163,101,1
551,2107,163,101,1
551,735,163,101,1
551,170,163,101,3
551,1781,163,101,1
703,596,163,101,1
703,31,163,101,3
703,1559,163,101,1
703,1063,163,101,1
703,928,163,101,1
703,2107,163,101,1
703,735,163,101,1
703,170,163,101,3
703,1781,163,101,1
761,596,163,101,1
761,31,163,101,3
761,1559,163,101,1
761,1063,163,101,1
761,928,163,101,1
761,2107,163,101,1
761,735,163,101,1
761,170,163,101,3
761,1781,163,101,1
4033,596,163,101,2
4033,31,163,101,2
4033,1559,163,101,2
4033,1063,163,101,2
4033,928,163,101,2
4033,2107,163,101,2
4033,735,163,101,2
4033,170,163,101,2
4033,1781,163,101,2
4168,596,163,101,2
4168,31,163,101,2
4168,1559,163,101,2
4168,1063,163,101,2
4168,928,163,101,2
4168,2107,163,101,2
4168,735,163,101,2
4168,170,163,101,2
4168,1781,163,101,2
3769,596,163,101,2
3769,31,163,101,3
3769,1559,163,101,2
3769,1063,163,101,2
3769,928,163,101,2
